@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
1185,'2022/01/20 16:18:45:866',91,53,0,0,0,52,0.34,78,8,16.299999,323,43
1186,'2022/01/20 16:18:45:966',91,53,0,0,0,52,0.34,78,8,16.299999,323,43
1187,'2022/01/20 16:18:46:066',91,53,0,0,0,52,0.34,78,8,16.299999,323,43
1188,'2022/01/20 16:18:46:166',91,53,0,0,0,52,0.34,78,8,16.299999,323,43
1189,'2022/01/20 16:18:50:866',92,58,52,0.0109,0.0072,52,0.34,78,8,16.299999,323,43
1190,'2022/01/20 16:18:50:966',92,60,46,0.9155,0.0856,52,0.34,78,8,16.299999,323,43
1191,'2022/01/20 16:18:51:066',92,68,46,0.7843,0.0487,52,0.34,78,8,16.299999,323,43
1192,'2022/01/20 16:18:51:166',92,66,46,0.6177,0.0353,52,0.34,78,8,16.299999,323,43
1193,'2022/01/20 16:18:51:267',92,60,46,0.4923,0.0658,52,0.34,78,8,16.299999,323,43
1194,'2022/01/20 16:18:51:366',92,60,46,0.3883,0.0487,52,0.34,78,8,16.299999,323,43
1195,'2022/01/20 16:18:51:466',92,60,46,0.3049,0.0366,52,0.34,78,8,16.299999,323,43
1196,'2022/01/20 16:18:51:566',92,60,46,0.2362,0.0265,52,0.34,78,8,16.299999,323,43
1197,'2022/01/20 16:18:51:666',92,60,46,0.1852,0.0201,52,0.34,78,8,16.299999,323,43
1198,'2022/01/20 16:18:51:766',92,60,46,0.1436,0.0153,52,0.34,78,8,16.299999,323,43
1199,'2022/01/20 16:18:56:766',93,60,45,0.7762,0.2986,52,0.34,78,8,16.299999,323,43
1200,'2022/01/20 16:18:56:866',93,60,45,0.7583,0.0408,52,0.34,78,8,16.299999,323,43
1201,'2022/01/20 16:18:56:966',93,60,45,0.6068,0.0192,52,0.34,78,8,16.299999,323,43
1202,'2022/01/20 16:18:57:066',93,60,45,0.4741,0.0205,52,0.34,78,8,16.299999,323,43
1203,'2022/01/20 16:18:57:166',93,60,45,0.391,0.0189,52,0.34,78,8,16.299999,323,43
1204,'2022/01/20 16:18:57:266',93,60,45,0.3208,0.0169,52,0.34,78,8,16.299999,323,43
1205,'2022/01/20 16:18:57:366',93,60,45,0.2578,0.0172,52,0.34,78,8,16.299999,323,43
1206,'2022/01/20 16:18:57:466',93,60,45,0.2192,0.0137,52,0.34,78,8,16.299999,323,43
1207,'2022/01/20 16:18:57:566',93,60,45,0.174,0.0098,52,0.34,78,8,16.299999,323,43
1208,'2022/01/20 16:18:57:666',93,60,45,0.1479,0.0059,52,0.34,78,8,16.299999,323,43
1209,'2022/01/20 16:18:57:766',93,60,45,0.1178,0.0042,52,0.34,78,8,16.299999,323,43
1210,'2022/01/20 16:18:57:866',93,60,45,0.0916,0.0044,52,0.34,78,8,16.299999,323,43
1211,'2022/01/20 16:18:57:966',93,48,45,0.0709,0,52,0.34,78,8,16.299999,323,43
1212,'2022/01/20 16:19:10:966',94,60,50,0.0536,0.0118,1,0.7,259,35,212,4.25,246
1213,'2022/01/20 16:19:11:066',94,60,55,0.0277,0,1,0.7,259,35,212,4.25,246
1214,'2022/01/20 16:19:11:166',94,50,0,0,0,1,0.7,259,35,212,4.25,246
1215,'2022/01/20 16:19:11:266',94,50,0,0,0,1,0.7,259,35,212,4.25,246
1216,'2022/01/20 16:19:11:366',94,50,0,0,0,1,0.7,259,35,212,4.25,246
1217,'2022/01/20 16:19:11:466',94,50,0,0,0,1,0.7,259,35,212,4.25,246
1218,'2022/01/20 16:19:11:566',94,50,0,0,0,1,0.7,259,35,212,4.25,246
1219,'2022/01/20 16:19:11:666',94,50,0,0,0,1,0.7,259,35,212,4.25,246
1220,'2022/01/20 16:19:17:966',95,62,41,1,1,1,0.7,259,35,212,4.25,246
1221,'2022/01/20 16:19:18:066',95,62,41,1,1,1,0.7,259,35,212,4.25,246
1222,'2022/01/20 16:19:18:166',95,62,41,1,1,1,0.7,259,35,212,4.25,246
1223,'2022/01/20 16:19:18:266',95,62,41,1,0.9653,1,0.7,259,35,212,4.25,246
1224,'2022/01/20 16:19:18:366',95,41,41,1,0.7751,1,0.7,259,35,212,4.25,246
1225,'2022/01/20 16:19:18:466',95,62,41,1,0.6492,1,0.7,259,35,212,4.25,246
1226,'2022/01/20 16:19:18:566',95,62,41,1,0.5447,1,0.7,259,35,212,4.25,246
1227,'2022/01/20 16:19:18:666',95,46,41,1,0.4486,1,0.7,259,35,212,4.25,246
1228,'2022/01/20 16:19:18:766',95,46,41,0.9602,0.3556,1,0.7,259,35,212,4.25,246
1229,'2022/01/20 16:21:07:367',96,55,55,0.0211,0.0075,1,0.7,259,35,212,4.25,246
1230,'2022/01/20 16:21:07:466',96,52,0,0,0,1,0.7,259,35,212,4.25,246
1231,'2022/01/20 16:21:07:566',96,51,0,0,0,1,0.7,259,35,212,4.25,246
1232,'2022/01/20 16:21:07:666',96,52,0,0,0,1,0.7,259,35,212,4.25,246
